benchmark_id,benchmark_name,source_author,frontier_lab_author_affiliations,legacy_task_mode,legacy_task_domain,first_date,last_date,first_providers,first_provider_count,provider_count,eligible_provider_count,provider_reach_share,total_mentions,release_count,raw_variant_count,raw_variants,provider_adoption_path,second_provider,second_provider_date,days_to_second_provider,active_span_days,time_to_50pct_mentions_days,observed_days_since_first,first_provider_is_author_affiliated,cross_provider_cascade
benchmark_93_task_coding_benchmark,93-task coding benchmark,Others(early-access tester),none,Agentic,Coding/Engineering,2026-04-16,2026-04-16,Anthropic,1,1,2,0.5,1,1,1,93-task coding benchmark,Anthropic (2026-04-16),,,,0,0,7,False,False
benchmark_aa_lcr,AA-LCR,Others(Artificial Analysis),none,Knowledge Retrieval,General/Commonsense,2026-04-23,2026-04-23,OpenAI,1,1,1,1.0,1,1,1,AA-LCR,OpenAI (2026-04-23),,,,0,0,0,False,False
benchmark_aa_omniscience,AA-Omniscience,Others(Artificial Analysis),none,Knowledge Retrieval,General/Commonsense,2026-04-23,2026-04-23,OpenAI,1,1,1,1.0,1,1,1,AA-Omniscience,OpenAI (2026-04-23),,,,0,0,0,False,False
benchmark_activitynet,ActivityNet,Academia,none,Multimodal Perception,General/Commonsense,2024-05-13,2024-05-13,OpenAI,1,1,3,0.3333333333333333,1,1,1,ActivityNet,OpenAI (2024-05-13),,,,0,0,710,False,False
benchmark_anthropic_internal_autonomous_agentic_coding_evaluation,Anthropic internal autonomous agentic coding evaluation,Anthropic,Anthropic,Agentic,Coding/Engineering,2026-04-16,2026-04-16,Anthropic,1,1,2,0.5,1,1,1,Anthropic internal autonomous agentic coding evaluation,Anthropic (2026-04-16),,,,0,0,7,True,False
benchmark_artificial_analysis_coding_index,Artificial Analysis Coding Index,Others(Artificial Analysis),none,Generative Reasoning,Coding/Engineering,2026-04-23,2026-04-23,OpenAI,1,1,1,1.0,1,1,1,Artificial Analysis's Coding Index,OpenAI (2026-04-23),,,,0,0,0,False,False
benchmark_artificial_analysis_intelligence_index,Artificial Analysis Intelligence Index,Others(Artificial Analysis),none,Generative Reasoning,General/Commonsense,2026-04-23,2026-04-23,OpenAI,1,1,1,1.0,1,1,1,Artificial Analysis Intelligence Index,OpenAI (2026-04-23),,,,0,0,0,False,False
benchmark_biopipelinebench,BioPipelineBench,Anthropic,Anthropic,Agentic,Specialized (Law/Bio/Finance),2026-02-05,2026-02-05,Anthropic,1,1,3,0.3333333333333333,1,1,1,BioPipelineBench,Anthropic (2026-02-05),,,,0,0,77,True,False
benchmark_biology_olympiad,Biology Olympiad,Academia,none,Generative Reasoning,Specialized (Law/Bio/Finance),2023-03-14,2023-03-14,OpenAI,1,1,3,0.3333333333333333,1,1,1,Biology Olympiad,OpenAI (2023-03-14),,,,0,0,1136,False,False
benchmark_bird_sql,Bird-SQL,Academia,none,Generative Reasoning,Coding/Engineering,2024-12-11,2024-12-11,Google,1,1,3,0.3333333333333333,1,1,1,Bird-SQL,Google (2024-12-11),,,,0,0,498,False,False
benchmark_bixbench,BixBench,Others(FutureHouse),none,Agentic,Specialized (Law/Bio/Finance),2026-04-23,2026-04-23,OpenAI,1,1,1,1.0,1,1,1,BixBench,OpenAI (2026-04-23),,,,0,0,0,False,False
benchmark_browsecomp_long_context,BrowseComp Long Context,OpenAI,OpenAI,Knowledge Retrieval,General/Commonsense,2025-12-11,2025-12-11,OpenAI,1,1,3,0.3333333333333333,1,1,1,BrowseComp Long Context,OpenAI (2025-12-11),,,,0,0,133,True,False
benchmark_browsecomp_plus,BrowseComp-Plus,Academia,none,Agentic,General/Commonsense,2025-11-24,2025-11-24,Anthropic,1,1,3,0.3333333333333333,1,1,1,BrowseComp-Plus,Anthropic (2025-11-24),,,,0,0,150,False,False
benchmark_capture_the_flags_challenge_tasks_internal,Capture-the-Flags challenge tasks (Internal),OpenAI,OpenAI,Agentic,Coding/Engineering,2026-04-23,2026-04-23,OpenAI,1,1,1,1.0,1,1,1,Capture-the-Flags challenge tasks (Internal),OpenAI (2026-04-23),,,,0,0,0,True,False
benchmark_cot_control,CoT-Control,OpenAI,OpenAI,Constraint Satisfaction,General/Commonsense,2026-03-05,2026-03-05,OpenAI,1,1,2,0.5,1,1,1,CoT controllability,OpenAI (2026-03-05),,,,0,0,49,True,False
benchmark_complexfunc_bench,ComplexFunc Bench,Academia,none,Agentic,Coding/Engineering,2025-04-14,2025-04-14,OpenAI,1,1,3,0.3333333333333333,1,1,1,ComplexFunc Bench,OpenAI (2025-04-14),,,,0,0,374,False,False
benchmark_critpt,CritPt,Academia,none,Generative Reasoning,STEM/Math,2026-04-23,2026-04-23,OpenAI,1,1,1,1.0,1,1,1,CritPt,OpenAI (2026-04-23),,,,0,0,0,False,False
benchmark_cursorbench,CursorBench,Others(Cursor),none,Agentic,Coding/Engineering,2026-04-16,2026-04-16,Anthropic,1,1,2,0.5,1,1,1,CursorBench,Anthropic (2026-04-16),,,,0,0,7,False,False
benchmark_erqa,ERQA,Google,Google; DeepMind,Knowledge Retrieval,General/Commonsense,2025-08-07,2025-08-07,OpenAI,1,1,3,0.3333333333333333,1,1,1,ERQA,OpenAI (2025-08-07),,,,0,0,259,False,False
benchmark_expert_swe_internal,Expert-SWE (Internal),OpenAI,OpenAI,Agentic,Coding/Engineering,2026-04-23,2026-04-23,OpenAI,1,1,1,1.0,1,1,1,Expert-SWE (Internal),OpenAI (2026-04-23),,,,0,0,0,True,False
benchmark_facts_grounding,FACTS Grounding,Google,Google; DeepMind,Knowledge Retrieval,General/Commonsense,2024-12-11,2024-12-11,Google,1,1,3,0.3333333333333333,1,1,1,FACTS Grounding,Google (2024-12-11),,,,0,0,498,True,False
benchmark_fleurs,FLEURS,"Meta, Google",Google,Multimodal Perception,General/Commonsense,2023-12-06,2023-12-06,Google,1,1,3,0.3333333333333333,1,1,1,FLEURS,Google (2023-12-06),,,,0,0,869,True,False
benchmark_frontier_science_research,Frontier Science Research,OpenAI,OpenAI,Generative Reasoning,STEM/Math,2026-03-05,2026-03-05,OpenAI,1,1,2,0.5,1,1,1,Frontier Science Research,OpenAI (2026-03-05),,,,0,0,49,True,False
benchmark_gre,GRE,"Academia, Others(ETS)",none,Generative Reasoning,General/Commonsense,2023-07-11,2023-07-11,Anthropic,1,1,3,0.3333333333333333,1,1,1,GRE,Anthropic (2023-07-11),,,,0,0,1017,False,False
benchmark_genebench,GeneBench,OpenAI,OpenAI,Agentic,Specialized (Law/Bio/Finance),2026-04-23,2026-04-23,OpenAI,1,1,1,1.0,1,1,1,GeneBench,OpenAI (2026-04-23),,,,0,0,0,True,False
benchmark_global_piqa,Global PIQA,Academia,none,Generative Reasoning,General/Commonsense,2025-11-18,2025-11-18,Google,1,1,3,0.3333333333333333,1,1,1,Global PIQA,Google (2025-11-18),,,,0,0,156,False,False
benchmark_healthbench,Healthbench,OpenAI,OpenAI,Generative Reasoning,Specialized (Law/Bio/Finance),2025-08-07,2025-08-07,OpenAI,1,1,3,0.3333333333333333,1,1,1,Healthbench,OpenAI (2025-08-07),,,,0,0,259,True,False
benchmark_hiddenmath,HiddenMath,Google,Google; DeepMind,Generative Reasoning,STEM/Math,2024-12-11,2024-12-11,Google,1,1,3,0.3333333333333333,1,1,1,HiddenMath,Google (2024-12-11),,,,0,0,498,True,False
benchmark_ifbench,IFBench,Academia,none,Constraint Satisfaction,General/Commonsense,2026-04-23,2026-04-23,OpenAI,1,1,1,1.0,1,1,1,IFBench,OpenAI (2026-04-23),,,,0,0,0,False,False
benchmark_imo,IMO,Academia,none,Generative Reasoning,STEM/Math,2024-09-12,2024-09-12,OpenAI,1,1,3,0.3333333333333333,1,1,1,IMO,OpenAI (2024-09-12),,,,0,0,588,False,False
benchmark_infographic_vqa,Infographic VQA,Academia,none,Multimodal Perception,General/Commonsense,2023-12-06,2023-12-06,Google,1,1,3,0.3333333333333333,1,1,1,Infographic VQA,Google (2023-12-06),,,,0,0,869,False,False
benchmark_jailbreak_eval,Jailbreak Eval,Academia,none,Constraint Satisfaction,General/Commonsense,2024-09-12,2024-09-12,OpenAI,1,1,3,0.3333333333333333,1,1,1,Jailbreak Eval,OpenAI (2024-09-12),,,,0,0,588,False,False
benchmark_livebench_coding,LiveBench Coding,"Academia, Others(Nvidia etc)",none,Generative Reasoning,Coding/Engineering,2025-01-31,2025-01-31,OpenAI,1,1,3,0.3333333333333333,1,1,1,LiveBench Coding,OpenAI (2025-01-31),,,,0,0,447,False,False
benchmark_livecodebench_pro,LiveCodeBench Pro,Academia,none,Generative Reasoning,Coding/Engineering,2026-02-19,2026-02-19,Google,1,1,3,0.3333333333333333,1,1,1,LiveCodeBench Pro,Google (2026-02-19),,,,0,0,63,False,False
benchmark_m3exam,M3Exam,"Academia, Others(Alibaba etc)",none,Multimodal Perception,General/Commonsense,2024-05-13,2024-05-13,OpenAI,1,1,3,0.3333333333333333,1,1,1,M3Exam,OpenAI (2024-05-13),,,,0,0,710,False,False
benchmark_math_500,MATH 500,Academia,none,Generative Reasoning,STEM/Math,2025-02-25,2025-02-25,Anthropic,1,1,3,0.3333333333333333,1,1,1,MATH 500,Anthropic (2025-02-25),,,,0,0,422,False,False
benchmark_mcqa,MCQA,Academia,none,Generative Reasoning,General/Commonsense,2023-12-06,2023-12-06,Google,1,1,3,0.3333333333333333,1,1,1,MCQA,Google (2023-12-06),,,,0,0,869,False,False
benchmark_mtob_benchmark,MTOB benchmark,"Academia, Google",none,Generative Reasoning,STEM/Math,2024-02-15,2024-02-15,Google,1,1,3,0.3333333333333333,1,1,1,MTOB benchmark,Google (2024-02-15),,,,0,0,798,True,False
benchmark_matharena_apex,MathArena Apex,Academia,none,Generative Reasoning,STEM/Math,2025-11-18,2025-11-18,Google,1,1,3,0.3333333333333333,1,1,1,MathArena Apex,Google (2025-11-18),,,,0,0,156,False,False
benchmark_multi_if,Multi-IF,Meta,none,Constraint Satisfaction,General/Commonsense,2025-04-14,2025-04-14,OpenAI,1,1,3,0.3333333333333333,1,1,1,Multi-IF,OpenAI (2025-04-14),,,,0,0,374,False,False
benchmark_officeqa,OfficeQA,"Academia, Others(Databricks)",none,Agentic,Specialized (Law/Bio/Finance),2026-03-05,2026-03-05,OpenAI,1,1,2,0.5,1,1,1,OfficeQA,OpenAI (2026-03-05),,,,0,0,49,False,False
benchmark_omnidocbench,OmniDocBench,"Academia, Others(OpenGVLab)",none,Multimodal Perception,General/Commonsense,2026-03-05,2026-03-05,OpenAI,1,1,2,0.5,1,1,1,OmniDocBench,OpenAI (2026-03-05),,,,0,0,49,False,False
benchmark_omnidocbench_1_5,OmniDocBench 1.5,"Academia, Others(Abaka AI)",none,Multimodal Perception,General/Commonsense,2025-11-18,2025-11-18,Google,1,1,3,0.3333333333333333,1,1,1,OmniDocBench 1.5,Google (2025-11-18),,,,0,0,156,False,False
benchmark_online_mind2web,Online-Mind2Web,Academia,none,Agentic,General/Commonsense,2026-03-05,2026-03-05,OpenAI,1,1,2,0.5,1,1,1,Online-Mind2Web,OpenAI (2026-03-05),,,,0,0,49,False,False
benchmark_openrca,OpenRCA,"Academia, Others(Microsoft)",Microsoft,Generative Reasoning,Coding/Engineering,2026-02-05,2026-02-05,Anthropic,1,1,3,0.3333333333333333,1,1,1,OpenRCA,Anthropic (2026-02-05),,,,0,0,77,False,False
benchmark_qodo_s_real_world_code_review_benchmark,Qodo's real-world code review benchmark,Others(Qodo),none,Generative Reasoning,Coding/Engineering,2026-04-16,2026-04-16,Anthropic,1,1,2,0.5,1,1,1,Qodo's real-world code review benchmark,Anthropic (2026-04-16),,,,0,0,7,False,False
benchmark_rakuten_swe_bench,Rakuten-SWE-Bench,Others(Rakuten),none,Agentic,Coding/Engineering,2026-04-16,2026-04-16,Anthropic,1,1,2,0.5,1,1,1,Rakuten-SWE-Bench,Anthropic (2026-04-16),,,,0,0,7,False,False
benchmark_stem,STEM,Academia,none,Generative Reasoning,STEM/Math,2025-01-31,2025-01-31,OpenAI,1,1,3,0.3333333333333333,1,1,1,STEM,OpenAI (2025-01-31),,,,0,0,447,False,False
benchmark_swe_lancer_ic_diamond,SWE-Lancer IC Diamond,OpenAI,OpenAI,Agentic,Coding/Engineering,2026-02-05,2026-02-05,OpenAI,1,1,3,0.3333333333333333,1,1,1,SWE-lancer IC Diamond,OpenAI (2026-02-05),,,,0,0,77,True,False
benchmark_swe_bench,SWE-bench,Academia,none,Agentic,Coding/Engineering,2025-02-27,2025-02-27,OpenAI,1,1,3,0.3333333333333333,1,1,1,SWE-bench,OpenAI (2025-02-27),,,,0,0,420,False,False
benchmark_swe_bench_multimodal,SWE-bench Multimodal,Academia,none,Agentic,Coding/Engineering,2026-04-16,2026-04-16,Anthropic,1,1,2,0.5,1,1,1,SWE-bench Multimodal,Anthropic (2026-04-16),,,,0,0,7,False,False
benchmark_simpleqa_verified,SimpleQA Verified,Google,Google; DeepMind,Knowledge Retrieval,General/Commonsense,2026-03-03,2026-03-03,Google,1,1,3,0.3333333333333333,1,1,1,SimpleQA Verified,Google (2026-03-03),,,,0,0,51,True,False
benchmark_structural_biology,Structural Biology,Anthropic,Anthropic,Generative Reasoning,Specialized (Law/Bio/Finance),2026-04-16,2026-04-16,Anthropic,1,1,2,0.5,1,1,1,Structural Biology,Anthropic (2026-04-16),,,,0,0,7,True,False
benchmark_terminal_bench_hard,Terminal-Bench Hard,"Academia, Others(Artificial Analysis)",none,Agentic,Coding/Engineering,2026-04-23,2026-04-23,OpenAI,1,1,1,1.0,1,1,1,Terminal-Bench Hard,OpenAI (2026-04-23),,,,0,0,0,False,False
benchmark_textvqa,TextVQA,Meta,none,Multimodal Perception,General/Commonsense,2023-12-06,2023-12-06,Google,1,1,3,0.3333333333333333,1,1,1,TextVQA,Google (2023-12-06),,,,0,0,869,False,False
benchmark_vatex,VATEX,"Academia, Others(ByteDance)",none,Multimodal Perception,General/Commonsense,2023-12-06,2023-12-06,Google,1,1,3,0.3333333333333333,1,1,1,VATEX,Google (2023-12-06),,,,0,0,869,False,False
benchmark_vqav2,VQAv2,Academia,none,Multimodal Perception,General/Commonsense,2023-12-06,2023-12-06,Google,1,1,3,0.3333333333333333,1,1,1,VQAv2,Google (2023-12-06),,,,0,0,869,False,False
benchmark_vending_bench,Vending-Bench,Others(Andon Labs),none,Agentic,General/Commonsense,2025-11-24,2025-11-24,Anthropic,1,1,3,0.3333333333333333,1,1,1,Vending-Bench,Anthropic (2025-11-24),,,,0,0,150,False,False
benchmark_video_mme,Video-MME,Academia,none,Multimodal Perception,General/Commonsense,2025-04-14,2025-04-14,OpenAI,1,1,3,0.3333333333333333,1,1,1,Video-MME,OpenAI (2025-04-14),,,,0,0,374,False,False
benchmark_webarena_verified,WebArena-Verified,"Academia, Others(ServiceNow)",none,Agentic,General/Commonsense,2026-03-05,2026-03-05,OpenAI,1,1,2,0.5,1,1,1,WebArena-Verified,OpenAI (2026-03-05),,,,0,0,49,False,False
benchmark_webvoyager,WebVoyager,Academia,none,Agentic,General/Commonsense,2024-12-11,2024-12-11,Google,1,1,3,0.3333333333333333,1,1,1,WebVoyager,Google (2024-12-11),,,,0,0,498,False,False
benchmark_implicit_need_tests,implicit-need tests,Others(Notion),none,Agentic,General/Commonsense,2026-04-16,2026-04-16,Anthropic,1,1,2,0.5,1,1,1,implicit-need tests,Anthropic (2026-04-16),,,,0,0,7,False,False
benchmark_internal_research_agent_benchmark,internal research-agent benchmark,Others(early-access tester),none,Agentic,Specialized (Law/Bio/Finance),2026-04-16,2026-04-16,Anthropic,1,1,2,0.5,1,1,1,internal research-agent benchmark,Anthropic (2026-04-16),,,,0,0,7,False,False
