provider,facet_axis,facet_label,weighted_mentions,axis_weight_total,share_of_provider_axis
Anthropic,domain,General/Commonsense,1.6839876401973175,9.0,0.18710973779970194
Anthropic,domain,STEM/Math,0.7224104178378372,9.0,0.08026782420420414
Anthropic,domain,Bio/Medicine,0.6292793374486922,9.0,0.06991992638318803
Anthropic,domain,Visual/Document,0.49059284472994147,9.0,0.054510316081104605
Google,domain,Coding/Engineering,2.6622564935064936,8.0,0.3327820616883117
Google,domain,General/Commonsense,1.8850018037518037,8.0,0.23562522546897546
Google,domain,Other Specialized,1.4425459956709956,8.0,0.18031824945887445
Google,domain,STEM/Math,0.7266098484848484,8.0,0.09082623106060606
Google,domain,Visual/Document,0.522325937950938,8.0,0.06529074224386724
Google,domain,Bio/Medicine,0.32339917027417026,8.0,0.04042489628427128
OpenAI,domain,Coding/Engineering,2.5573060762766646,6.0,0.4262176793794441
OpenAI,domain,General/Commonsense,1.0529681103210515,6.0,0.1754946850535086
OpenAI,domain,Other Specialized,0.8426244343891403,6.0,0.14043740573152338
OpenAI,domain,STEM/Math,0.5380866192630899,6.0,0.08968110321051498
OpenAI,domain,Visual/Document,0.2827133160956691,6.0,0.04711888601594485
OpenAI,domain,Bio/Medicine,0.24593729799612152,6.0,0.04098954966602025
Anthropic,headline_task_mode,Agentic,6.228976686396041,9.0,0.6921085207106712
Anthropic,headline_task_mode,Generative Reasoning,1.091633778407972,9.0,0.12129264204533022
Anthropic,headline_task_mode,Multimodal Perception,1.0391049631372211,9.0,0.11545610701524679
Anthropic,headline_task_mode,Constraint Satisfaction,0.5127884123045413,9.0,0.05697649025606014
Anthropic,headline_task_mode,Knowledge Retrieval,0.12749615975422426,9.0,0.014166239972691584
Google,headline_task_mode,Agentic,4.8230519480519485,8.0,0.6028814935064936
Google,headline_task_mode,Multimodal Perception,1.4110930735930736,8.0,0.1763866341991342
Google,headline_task_mode,Generative Reasoning,0.9038419913419914,8.0,0.11298024891774892
Google,headline_task_mode,Knowledge Retrieval,0.6609848484848485,8.0,0.08262310606060606
Google,headline_task_mode,Constraint Satisfaction,0.20102813852813853,8.0,0.025128517316017316
OpenAI,headline_task_mode,Agentic,3.914285714285714,6.0,0.6523809523809524
OpenAI,headline_task_mode,Multimodal Perception,0.7048588666235726,6.0,0.11747647777059543
OpenAI,headline_task_mode,Generative Reasoning,0.7002046972635207,6.0,0.11670078287725345
OpenAI,headline_task_mode,Knowledge Retrieval,0.3627774186597716,6.0,0.060462903109961934
OpenAI,headline_task_mode,Constraint Satisfaction,0.3178733031674208,6.0,0.0529788838612368
Anthropic,interaction_pattern,static_prompt_response,2.8848649558326978,9.0,0.3205405506480775
Anthropic,interaction_pattern,environment_interaction,2.7862289935273807,9.0,0.30958099928082006
Anthropic,interaction_pattern,multi_step_planning,1.4125996121560638,9.0,0.15695551246178485
Anthropic,interaction_pattern,terminal_or_codebase_interaction,0.9269747173376206,9.0,0.10299719081529118
Anthropic,interaction_pattern,browser_or_web_interaction,0.36298897637607314,9.0,0.040332108486230346
Anthropic,interaction_pattern,computer_control,0.31733887528242366,9.0,0.03525987503138041
Google,interaction_pattern,static_prompt_response,3.4252074314574315,8.0,0.42815092893217893
Google,interaction_pattern,environment_interaction,2.3013392857142856,8.0,0.2876674107142857
Google,interaction_pattern,terminal_or_codebase_interaction,0.9393353174603175,8.0,0.11741691468253969
Google,interaction_pattern,multi_step_planning,0.6614583333333333,8.0,0.08268229166666666
Google,interaction_pattern,computer_control,0.19538690476190476,8.0,0.024423363095238095
Google,interaction_pattern,browser_or_web_interaction,0.17142857142857143,8.0,0.02142857142857143
OpenAI,interaction_pattern,static_prompt_response,2.2592086834733895,6.0,0.3765347805788983
OpenAI,interaction_pattern,environment_interaction,1.9799028585793292,6.0,0.32998380976322156
OpenAI,interaction_pattern,multi_step_planning,0.8867117359764418,6.0,0.14778528932940696
OpenAI,interaction_pattern,terminal_or_codebase_interaction,0.43451572936867056,6.0,0.07241928822811176
OpenAI,interaction_pattern,computer_control,0.1685789700495583,6.0,0.028096495008259715
OpenAI,interaction_pattern,browser_or_web_interaction,0.13791927027221146,6.0,0.022986545045368578
