provider,period,facet_axis,facet_label,weighted_mentions,raw_mention_count,period_weight_denominator,share
Google,2025,modality,document_layout,0.06468253968253967,4,2.0,0.03234126984126984
Google,2025,modality,tool_api,0.05555555555555555,3,2.0,0.027777777777777776
Google,2025,modality,browser_ui,0.015873015873015872,1,2.0,0.007936507936507936
Google,2025,modality,desktop_ui,0.015873015873015872,1,2.0,0.007936507936507936
Google,2025,modality,audio,0.011904761904761904,1,2.0,0.005952380952380952
Google,2025,modality,video,0.011904761904761904,1,2.0,0.005952380952380952
Anthropic,2025,context_pressure,short,3.221916971916972,27,6.0,0.536986161986162
Anthropic,2025,context_pressure,medium,1.6643772893772892,15,6.0,0.27739621489621485
Anthropic,2025,context_pressure,long_context_supporting,0.8006715506715507,7,6.0,0.13344525844525845
Anthropic,2025,context_pressure,none,0.31303418803418803,3,6.0,0.05217236467236467
Anthropic,2025,domain,STEM/Math,1.4352614977614977,24,6.0,0.23921024962691628
Anthropic,2025,domain,Coding/Engineering,1.204390516890517,16,6.0,0.20073175281508615
Anthropic,2025,domain,Other Specialized,1.1834299959299959,25,6.0,0.19723833265499932
Anthropic,2025,domain,General/Commonsense,0.7348137973137973,17,6.0,0.1224689662189662
Anthropic,2025,domain,Bio/Medicine,0.663436100936101,18,6.0,0.11057268348935016
Anthropic,2025,domain,Visual/Document,0.3237433862433862,10,6.0,0.05395723104056437
Anthropic,2025,domain,Multilingual,0.19754782254782255,8,6.0,0.032924637091303756
Anthropic,2025,domain,Finance,0.13675213675213674,2,6.0,0.02279202279202279
Anthropic,2025,domain,Law,0.12062474562474562,6,6.0,0.020104124270790936
Anthropic,2025,headline_task_mode,Agentic,2.855006105006105,26,6.0,0.4758343508343508
Anthropic,2025,headline_task_mode,Generative Reasoning,1.4955738705738706,12,6.0,0.24926231176231176
Anthropic,2025,headline_task_mode,Constraint Satisfaction,0.8487484737484737,7,6.0,0.14145807895807896
Anthropic,2025,headline_task_mode,Multimodal Perception,0.8006715506715507,7,6.0,0.13344525844525845
