provider,period,facet_axis,facet_label,weighted_mentions,raw_mention_count,period_weight_denominator,share
Google,2025-2026,modality,tool_api,0.18850108225108225,7,4.0,0.04712527056277056
Google,2025-2026,modality,video,0.13852813852813853,2,4.0,0.03463203463203463
Google,2025-2026,modality,browser_ui,0.0625,1,4.0,0.015625
Google,2025-2026,modality,document_layout,0.060119047619047614,2,4.0,0.015029761904761903
Google,2025-2026,modality,desktop_ui,0.047619047619047616,1,4.0,0.011904761904761904
Google,2025-2026,modality,multimodal_mixed,0.047132034632034636,3,4.0,0.011783008658008659
Anthropic,2025-2026,context_pressure,none,7.384354444838316,94,8.0,0.9230443056047895
Anthropic,2025-2026,context_pressure,medium,0.40827228327228327,5,8.0,0.05103403540903541
Anthropic,2025-2026,context_pressure,long_context_supporting,0.2073732718894009,5,8.0,0.025921658986175114
Anthropic,2025-2026,domain,General/Commonsense,2.834682342746859,34,8.0,0.35433529284335735
Anthropic,2025-2026,domain,Coding/Engineering,2.478163771712159,36,8.0,0.30977047146401987
Anthropic,2025-2026,domain,STEM/Math,1.687586159360353,17,8.0,0.21094826992004412
Anthropic,2025-2026,domain,Other Specialized,0.5363828823506243,10,8.0,0.06704786029382803
Anthropic,2025-2026,domain,Finance,0.27147977470558116,7,8.0,0.033934971838197645
Anthropic,2025-2026,domain,Bio/Medicine,0.09585253456221199,4,8.0,0.011981566820276499
Anthropic,2025-2026,domain,Law,0.09585253456221197,4,8.0,0.011981566820276497
Anthropic,2025-2026,headline_task_mode,Agentic,3.99467288983418,57,8.0,0.4993341112292725
Anthropic,2025-2026,headline_task_mode,Generative Reasoning,2.979927330733782,35,8.0,0.37249091634172277
Anthropic,2025-2026,headline_task_mode,Multimodal Perception,0.8358836503997794,9,8.0,0.10448545629997243
Anthropic,2025-2026,headline_task_mode,Constraint Satisfaction,0.18951612903225806,3,8.0,0.023689516129032258
Anthropic,2025-2026,interaction_pattern,static_prompt_response,3.957708062546772,46,8.0,0.4947135078183465
Anthropic,2025-2026,interaction_pattern,terminal_or_codebase_interaction,1.8983959588798298,27,8.0,0.23729949485997873
Anthropic,2025-2026,interaction_pattern,single_turn_tool_use,0.8297934144708338,11,8.0,0.10372417680885422
Anthropic,2025-2026,interaction_pattern,computer_control,0.4251693646854937,6,8.0,0.053146170585686714
Anthropic,2025-2026,interaction_pattern,environment_interaction,0.40413991623669043,15,8.0,0.050517489529586304
Anthropic,2025-2026,interaction_pattern,multi_turn_dialogue,0.16783679283679281,5,8.0,0.020979599104599102
Anthropic,2025-2026,interaction_pattern,browser_or_web_interaction,0.15680018905825358,3,8.0,0.019600023632281697
